entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,median_exp,mean_exp,count_exp
51133,226823.0,,1.0,29.4445,31.424284150943407,49.0
386618,67516.0,,,0.145995,3.572902213207547,5.0
54442,69259.0,,0.0,15.5239,15.487258867924526,37.0
200845,71393.0,,,9.1804,10.320691509433958,18.0
154881,212919.0,1.0,0.0,10.5968,11.950751509433962,30.0
386617,243043.0,,,0.631666,3.0477911641509428,3.0
54793,105440.0,,1.0,20.2809,20.54180358490566,37.0
10945,68137.0,,1.0,129.342,127.48279811320755,53.0
11014,66913.0,1.0,1.0,97.7596,102.49350754716983,53.0
11015,105785.0,,,6.26255,11.11961516981132,15.0
126695,69073.0,1.0,2.0,0.45104,5.551880888679245,13.0
23028,99982.0,1.0,2.0,46.8448,49.33635660377359,53.0
221656,218214.0,,1.0,8.50143,9.115859245283016,16.0
22992,225876.0,,1.0,33.9115,33.20891622641509,48.0
84678,30841.0,,2.0,8.23303,9.870585283018865,20.0
55818,104263.0,,2.0,18.6245,20.18615735849057,42.0
51780,277250.0,1.0,2.0,33.74,30.591738679245278,52.0
9682,230674.0,,1.0,14.329,14.583728301886797,36.0
23030,193796.0,1.0,2.0,10.3466,11.731087169811321,30.0
23081,76804.0,,2.0,8.35516,8.400252452830188,14.0
55693,244694.0,,1.0,0.670441,1.8938004150943393,1.0
5927,214899.0,,2.0,11.8429,10.972158490566038,30.0
10765,75605.0,1.0,1.0,10.5145,12.647815849056606,29.0
8242,20591.0,1.0,1.0,39.204,37.684445283018874,53.0
8284,20592.0,0.0,,25.2866,27.86767915660377,42.0
7403,22289.0,2.0,2.0,10.4253,10.50483679245283,28.0
23135,216850.0,1.0,2.0,20.2014,20.912453396226415,37.0
80853,338523.0,,1.0,10.479,9.916101698113208,29.0
79831,77035.0,,2.0,3.45964,4.418021509433963,1.0
3791,16542.0,1.0,2.0,10.3064,16.863911803773586,27.0
2531,70750.0,1.0,,20.6731,23.26689660377359,49.0
9817,50868.0,1.0,1.0,36.6639,36.042192452830186,53.0
3792,23925.0,,1.0,0.502384,2.5036181452830184,1.0
11081,16545.0,0.0,1.0,0.0,0.04006559811320755,0.0
154288,66991.0,0.0,1.0,0.0386364,0.18776549433962264,0.0
22889,74200.0,,,,,
10657,20218.0,,2.0,67.4214,70.35233018867928,53.0
202559,170771.0,,1.0,0.135104,1.0322630377358493,0.0
10656,13992.0,,1.0,9.25056,13.612836415094339,24.0
3795,16548.0,1.0,,4.67921,9.395388188679245,8.0
23351,219094.0,,,37.3022,32.02108226415094,42.0
8570,16549.0,,1.0,70.1342,74.63278867924528,53.0
9674,67647.0,,,14.7724,17.088778566037735,32.0
9778,320661.0,,1.0,16.9738,17.623169056603768,50.0
9856,210108.0,,1.0,0.177998,2.5572255452830186,5.0
79932,100317.0,1.0,2.0,18.2554,19.880256603773592,53.0
9729,212448.0,,,5.41913,10.759749811320757,19.0
9764,234797.0,,1.0,9.7977,23.58300679245283,26.0
9786,76967.0,2.0,2.0,3.72203,4.003648679245283,1.0
9851,74477.0,2.0,1.0,8.9753,10.337733773584906,21.0
285600,72371.0,1.0,1.0,0.585045,0.6696743962264152,0.0
23313,223739.0,,,21.4501,26.383119245283012,45.0
57456,66202.0,,0.0,9.90103,10.316541698113205,25.0
57179,97820.0,,,62.3131,60.332613207547155,53.0
57481,101055983.0,,,0.0113671,1.1424703030188679,1.0
56243,208618.0,,2.0,7.9995,12.520288679245278,21.0
57536,225289.0,,,2.12239,2.4880705660377354,0.0
57648,97130.0,,,16.3761,30.666382169811328,36.0
57670,330286.0,1.0,1.0,1.6246,1.8062983018867929,0.0
25758,241589.0,,1.0,0.314507,3.368562720754717,5.0
57710,207792.0,,,2.28044,3.352689830188678,2.0
