	MGI	MP
231	MGI:101926	MP:0004726,MP:0005381,MP:0005306,MP:0005380,MP:0010771,MP:0000913,MP:0005230,MP:0002884,MP:0002116,MP:0000564,MP:0000455,MP:0000443,MP:0004452,MP:0000929,MP:0006337,MP:0002081,MP:0004439,MP:0002260,MP:0004594,MP:0005371,MP:0005386,MP:0004596,MP:0000914,MP:0004423,MP:0002098,MP:0000106,MP:0009918,MP:0003755,MP:0005394,MP:0000454,MP:0000452,MP:0001890,MP:0020350,MP:0005382,MP:0000077,MP:0003056,MP:0005384,MP:0005385,MP:0000102,MP:0000109,MP:0003235,MP:0005390,MP:0030383,MP:0002544,MP:0005378,MP:0010939,MP:0002110,MP:0003631,MP:0005377,MP:0005388,MP:0030299,MP:0011089,MP:0004595,MP:0000074,MP:0000556,MP:0010029,MP:0002820,MP:0010768,MP:0000107,MP:0005369,MP:0005270,MP:0005274,MP:0003935,MP:0005105,MP:0003072
232	MGI:1919129	MP:0005387,MP:0005378,MP:0005385,MP:0005391,MP:0005390,MP:0005370,MP:0005397,MP:0005376
233	MGI:2146149	MP:0005391,MP:0003631
234	MGI:1931870	
235	MGI:1858306	MP:0005388,MP:0005379,MP:0005370,MP:0002006,MP:0005397,MP:0005387,MP:0005378
236	MGI:2676810	MP:0002006,MP:0005370,MP:0005378,MP:0005384,MP:0005387,MP:0010768,MP:0005379,MP:0005397
237	MGI:1916119	
238	MGI:1914130	
239	MGI:96590	MP:0002006,MP:0005387,MP:0010768,MP:0005385,MP:0005384,MP:0005390,MP:0005379,MP:0005397,MP:0005376
240	MGI:1922063	
241	MGI:103294	MP:0005391,MP:0005397,MP:0010771,MP:0005376,MP:0005387,MP:0005388
242	MGI:1276121	MP:0001262,MP:0003997,MP:0010025,MP:0002064,MP:0005375,MP:0005386,MP:0005367,MP:0005370,MP:0011084,MP:0005332,MP:0001406,MP:0003860,MP:0010771,MP:0001265,MP:0005389,MP:0002175,MP:0001510,MP:0002083,MP:0001961,MP:0001732,MP:0010768,MP:0005378,MP:0005369,MP:0003917,MP:0005311,MP:0002981,MP:0004232,MP:0001921,MP:0005376,MP:0003631
