MGI:99913	MP:0001438,MP:0001954,MP:0010936,MP:0005382,MP:0002135,MP:0005381,MP:0005384,MP:0000462,MP:0005367,MP:0005390,MP:0010771,MP:0030460,MP:0011085,MP:0009675,MP:0005378,MP:0001849,MP:0011045,MP:0004273,MP:0001209,MP:0005377,MP:0000540,MP:0001190,MP:0000063,MP:0005388,MP:0005358,MP:0005371,MP:0002060,MP:0005386,MP:0001222,MP:0010124,MP:0000578,MP:0001874,MP:0011160,MP:0009827,MP:0005387,MP:0010768,MP:0001208,MP:0003089,MP:0030423
MGI:1347479	MP:0005382,MP:0010768,MP:0005381,MP:0005378,MP:0005369,MP:0005390,MP:0005391,MP:0005386,MP:0005376,MP:0003631
MGI:102704	MP:0005386,MP:0005375,MP:0005376,MP:0010768,MP:0005378,MP:0003631
MGI:1916503	MP:0005386,MP:0005385,MP:0005378,MP:0005384
MGI:3030795	nan
MGI:1915882	MP:0005391,MP:0005386,MP:0005397,MP:0002006,MP:0005387,MP:0005378,MP:0005385
MGI:3641869	nan
MGI:2449929	MP:0005387,MP:0005381,MP:0005378,MP:0005384,MP:0005388,MP:0010768,MP:0005386,MP:0005397,MP:0005376
MGI:1927338	MP:0005391,MP:0005386,MP:0003631,MP:0005378
MGI:1919425	MP:0001186,MP:0003354,MP:0002135,MP:0008918,MP:0003632,MP:0005384,MP:0005385,MP:0005386,MP:0005367,MP:0005370,MP:0005397,MP:0000689,MP:0010771,MP:0008450,MP:0000278,MP:0000598,MP:0005387,MP:0005369,MP:0005391,MP:0005058,MP:0006082,MP:0005376,MP:0003631
MGI:99500	MP:0005391,MP:0005376,MP:0005385
MGI:1929899	MP:0005386,MP:0010768
MGI:98304	nan
MGI:1914721	MP:0005380,MP:0010768
MGI:98633	nan
